OBJECTID,SOURCE_ID,geography_fx,gis_fx,giscience_fx,geoscience_fx,geospatial_fx,CLUSTER_ID,IS_SEED,STATE,Program,INSTITUTION,IN_GUIDE,deptlabor_stat,lat,long
1,1,23,7,0,0,6,5,0,Alaska,D,"University of Alaska, Fairbanks",N,,64.85762787,-147.7998352
2,2,8,2,0,0,0,1,0,Alabama,B,University of S Alabama,N,,30.69552994,-88.17484283
3,3,10,20,0,0,1,4,0,Alabama,D,University of Alabama,Y,,33.21509171,-87.54640198
4,4,15,2,0,4,1,1,1,Alabama,M,Auburn University,Y,,32.60414124,-85.48188019
5,5,5,3,0,11,3,3,0,Arkansas,M,University of Arkansas,N,,36.0703392,-94.17756653
6,6,17,20,0,0,3,4,0,Arkansas,M,University of Central Arkansas,N,,35.07825851,-92.45487213
7,7,8,0,0,0,0,1,0,Arizona,B,Prima Community College,Y,,32.22500992,-111.0145416
8,8,29,5,1,0,3,5,0,Arizona,D,University of Arizona,Y,,32.23210144,-110.9509506
9,9,16,12,0,0,11,6,0,Arizona,M,Northern Arizona University,Y,,35.17713928,-111.6541595
10,10,15,10,0,0,1,1,0,California,B,Palomar College,Y,,33.14761734,-117.1852036
11,11,36,3,0,0,0,5,0,California,D,"University of California, Berkeley",Y,,37.86948013,-122.2592926
12,12,24,22,0,0,1,4,0,California,M,Sanfrancisco State University,Y,,37.72600937,-122.478447
13,13,1,0,0,0,9,6,0,Colorado,B,United States Air Force Academy,Y,,38.95557022,-104.8217697
14,14,26,4,2,0,0,5,0,Colorado,D,"University of Colorado, Boulder",Y,,40.00392151,-105.2668381
15,15,10,7,0,0,6,6,0,Colorado,M,"University of Colorado, Denver",Y,,39.74588013,-105.0025177
16,16,5,0,0,0,0,1,0,Connecitcut,B,Manchester Community College,Y,,41.76192856,-72.56787109
17,17,20,14,3,2,4,4,0,Connecticut,D,University of Connecticut,Y,,41.80904007,-72.2575531
18,18,24,2,0,0,0,5,0,Connecticut,M,Central Connecticut State University,N,,41.69004059,-72.77078247
